Pv,date
28737,20180504
22417,20180505
29551,20180506
33354,20180507
33336,20180508
34194,20180509
33427,20180510
28411,20180511
23992,20180512
31104,20180513
34407,20180514
36245,20180515
32892,20180516
31313,20180517
27240,20180518
23031,20180519
30488,20180520
34731,20180521
34070,20180522
33060,20180523
34689,20180524
28918,20180525
21939,20180526
30203,20180527
34251,20180528
33165,20180529
32000,20180530
30785,20180531
25192,20180601
19352,20180602
25891,20180603
32010,20180604
34803,20180605
40991,20180606
37339,20180607
30355,20180608
23458,20180609
27078,20180610
33262,20180611
33717,20180612
33828,20180613
33309,20180614
25316,20180615
16165,20180616
16255,20180617
23682,20180618
36015,20180619
36126,20180620
36303,20180621
30406,20180622
21088,20180623
27551,20180624
38777,20180625
40342,20180626
40132,20180627
41029,20180628
37869,20180629
24840,20180630
30834,20180701
34007,20180702
29622,20180703
29351,20180704
27890,20180705
23187,20180706
14925,20180707
15906,20180708
23153,20180709
22385,20180710
21298,20180711
21009,20180712
18361,20180713
13454,20180714
12514,20180715
19645,20180716
19217,20180717
19150,20180718
18916,20180719
17367,20180720
11333,20180721
11218,20180722
17149,20180723
17591,20180724
17750,20180725
17227,20180726
14887,20180727
10333,20180728
10360,20180729
16493,20180730
15269,20180731
15314,20180801
14466,20180802
13146,20180803
10706,20180804
10494,20180805
14077,20180806
14118,20180807
13937,20180808
14713,20180809
13282,20180810
10604,20180811
10512,20180812
14231,20180813
14769,20180814
16131,20180815
14637,20180816
14429,20180817
11289,20180818
12074,20180819
14822,20180820
14303,20180821
14142,20180822
14964,20180823
14644,20180824
12644,20180825
13319,20180826
16575,20180827
16818,20180828
17676,20180829
18178,20180830
17922,20180831
15084,20180901
16071,20180902
15548,20180903
15909,20180904
16960,20180905
17232,20180906
15356,20180907
14117,20180908
17399,20180909
19455,20180910
18294,20180911
18374,20180912
18880,20180913
16681,20180914
16468,20180915
19954,20180916
20371,20180917
20783,20180918
20756,20180919
21326,20180920
17326,20180921
15803,20180922
15908,20180923
23396,20180924
23142,20180925
21655,20180926
21202,20180927
19308,20180928
18469,20180929
16704,20180930
15203,20181001
14706,20181002
17054,20181003
17530,20181004
19360,20181005
26924,20181006
38548,20181007
22110,20181008
21194,20181009
21852,20181010
21458,20181011
14097,20181012
19352,20181013
29567,20181014
21530,20181015
21632,20181016
26124,20181017
25322,20181018
22701,20181019
21313,20181020
29557,20181021
23221,20181022
23507,20181023
23514,20181024
22029,20181025
19157,20181026
18661,20181027
24798,20181028
21023,20181029
21685,20181030
21548,20181031
21390,20181101
18643,20181102
18734,20181103
30613,20181104
24449,20181105
25886,20181106
25201,20181107
24284,20181108
20014,20181109
19257,20181110
28778,20181111
27306,20181112
26495,20181113
27595,20181114
25554,20181115
20453,20181116
19279,20181117
28459,20181118
23157,20181119
22935,20181120
24547,20181121
22082,20181122
18917,20181123
18704,20181124
26553,20181125
23816,20181126
23516,20181127
22465,20181128
23163,20181129
19791,20181130
21851,20181201
28570,20181202
23207,20181203
23688,20181204
22922,20181205
22639,20181206
18374,20181207
17502,20181208
25683,20181209
21934,20181210
21748,20181211
20815,20181212
21583,20181213
17363,20181214
16204,20181215
22992,20181216
22525,20181217
22585,20181218
23516,20181219
21651,20181220
17970,20181221
15577,20181222
20386,20181223
19224,20181224
19952,20181225
20613,20181226
19859,20181227
17125,20181228
14945,20181229
12342,20181230
18376,20181231
23238,20190101
17165,20190102
16172,20190103
14856,20190104
29185,20190105
21327,20190106
16521,20190107
14547,20190108
14360,20190109
14643,20190110
14472,20190111
12703,20190112
13304,20190113
12857,20190114
12620,20190115
12407,20190116
12014,20190117
11123,20190118
10130,20190119
9433,20190120
10857,20190121
10523,20190122
10211,20190123
10844,20190124
10163,20190125
9209,20190126
8339,20190127
9641,20190128
9406,20190129
9113,20190130
8874,20190131
8606,20190201
8289,20190202
7767,20190203
8084,20190204
7539,20190205
5917,20190206
6551,20190207
7183,20190208
7797,20190209
8950,20190210
9762,20190211
10810,20190212
11762,20190213
11984,20190214
12719,20190215
11123,20190216
11469,20190217
13215,20190218
12985,20190219
12752,20190220
12289,20190221
12068,20190222
11102,20190223
12660,20190224
12843,20190225
13059,20190226
13094,20190227
12566,20190228
11306,20190301
11425,20190302
13385,20190303
12603,20190304
12333,20190305
13114,20190306
12503,20190307
10570,20190308
11132,20190309
14052,20190310
12788,20190311
14693,20190312
17253,20190313
17658,20190314
14740,20190315
13130,20190316
18380,20190317
16437,20190318
17720,20190319
17182,20190320
16187,20190321
14376,20190322
12775,20190323
17679,20190324
15790,20190325
16123,20190326
16146,20190327
15120,20190328
13148,20190329
12210,20190330
15410,20190331
15185,20190401
14782,20190402
14229,20190403
12005,20190404
10387,20190405
11491,20190406
16784,20190407
15483,20190408
15514,20190409
16750,20190410
16694,20190411
14524,20190412
12714,20190413
16852,20190414
16568,20190415
16024,20190416
16463,20190417
16376,20190418
14791,20190419
13089,20190420
16621,20190421
15632,20190422
16432,20190423
16133,20190424
17713,20190425
15932,20190426
13960,20190427
15075,20190428
15742,20190429
12241,20190430
9217,20190501
11064,20190502
12832,20190503
17638,20190504
15405,20190505
16611,20190506
16885,20190507
17653,20190508
15672,20190509
13936,20190510
12969,20190511
16700,20190512
17682,20190513
21662,20190514
22211,20190515
20368,20190516
18611,20190517
19899,20190518
18490,20190519
19549,20190520
19769,20190521
20447,20190522
19749,20190523
18958,20190524
15752,20190525
19660,20190526
23241,20190527
23467,20190528
22093,20190529
21291,20190530
21036,20190531
17875,20190601
21829,20190602
40144,20190603
44253,20190604
46819,20190605
45098,20190606
19967,20190607
21894,20190608
29123,20190609
57441,20190610
58028,20190611
62104,20190612
65191,20190613
61299,20190614
34173,20190615
37977,20190616
78058,20190617
77929,20190618
84615,20190619
89751,20190620
75111,20190621
40583,20190622
48621,20190623
94395,20190624
102152,20190625
101816,20190626
95166,20190627
41602,20190628
31344,20190629
33266,20190630
53594,20190701
40026,20190702
47605,20190703
38069,20190704
34074,20190705
19074,20190706
19888,20190707
83726,20190708
87815,20190709
82469,20190710
85531,20190711
72661,20190712
34118,20190713
38526,20190714
79166,20190715
80238,20190716
81544,20190717
83931,20190718
72555,20190719
15508,20190720
16139,20190721
31340,20190722
27826,20190723
26715,20190724
26488,20190725
26486,20190726
13837,20190727
14063,20190728
27319,20190729
24218,20190730
23557,20190731
63264,20190801
57288,20190802
27830,20190803
30155,20190804
65487,20190805
63883,20190806
61889,20190807
64439,20190808
56295,20190809
28588,20190810
29656,20190811
60377,20190812
63210,20190813
66579,20190814
65338,20190815
57172,20190816
28585,20190817
31410,20190818
85625,20190819
71471,20190820
73522,20190821
77947,20190822
68438,20190823
38991,20190824
44448,20190825
94449,20190826
96944,20190827
96903,20190828
94475,20190829
77805,20190830
38258,20190831
41248,20190901
78876,20190902
82408,20190903
83200,20190904
79699,20190905
71113,20190906
39468,20190907
47586,20190908
87818,20190909
92027,20190910
106408,20190911
116888,20190912
46540,20190913
59719,20190914
87823,20190915
247418,20190916
281906,20190917
306472,20190918
326799,20190919
302271,20190920
180902,20190921
194352,20190922
379789,20190923
399247,20190924
398032,20190925
390017,20190926
353539,20190927
211538,20190928
331769,20190929
237902,20190930
90864,20191001
83572,20191002
82501,20191003
88109,20191004
88129,20191005
102894,20191006
139814,20191007
300536,20191008
337930,20191009
356456,20191010
350112,20191011
295137,20191012
194530,20191013
398827,20191014
395849,20191015
372181,20191016
352724,20191017
291393,20191018
153386,20191019
184467,20191020
352183,20191021
350716,20191022
342900,20191023
332513,20191024
275558,20191025
133824,20191026
166335,20191027
299463,20191028
307277,20191029
308145,20191030
295097,20191031
226444,20191101
117251,20191102
148529,20191103
262667,20191104
262585,20191105
259068,20191106
253868,20191107
208585,20191108
117737,20191109
139215,20191110
235354,20191111
250394,20191112
244666,20191113
238371,20191114
193287,20191115
110733,20191116
136707,20191117
206416,20191118
208889,20191119
207602,20191120
198795,20191121
162501,20191122
101370,20191123
134272,20191124
203728,20191125
212684,20191126
218232,20191127
221413,20191128
190570,20191129
106536,20191130
125326,20191201
241642,20191202
284139,20191203
310404,20191204
334580,20191205
476846,20191206
133327,20191207
168804,20191208
316829,20191209
275368,20191210
235000,20191211
220437,20191212
157093,20191213
79056,20191214
90530,20191215
150123,20191216
143417,20191217
133434,20191218
122930,20191219
93977,20191220
51744,20191221
62459,20191222
100744,20191223
96029,20191224
91474,20191225
88120,20191226
69149,20191227
39790,20191228
42531,20191229
68786,20191230
54115,20191231
38251,20200101
58859,20200102
51345,20200103
37932,20200104
32537,20200105
62525,20200106
62680,20200107
52547,20200108
58601,20200109
52082,20200110
29580,20200111
30049,20200112
50358,20200113
48936,20200114
47424,20200115
43222,20200116
38137,20200117
20926,20200118
35060,20200119
33581,20200120
25653,20200121
18143,20200122
12265,20200123
9509,20200124
7392,20200125
6326,20200126
7599,20200127
8725,20200128
9698,20200129
9822,20200130
10534,20200131
11454,20200201
12259,20200202
13008,20200203
12836,20200204
12514,20200205
14749,20200206
13905,20200207
11564,20200208
12397,20200209
12783,20200210
12698,20200211
12991,20200212
12776,20200213
14113,20200214
13443,20200215
12788,20200216
13553,20200217
14171,20200218
13722,20200219
14340,20200220
14151,20200221
13213,20200222
13270,20200223
15626,20200224
15804,20200225
17436,20200226
16169,20200227
16346,20200228
17443,20200229
17526,20200301
18220,20200302
17834,20200303
17405,20200304
18221,20200305
17558,20200306
16618,20200307
14690,20200308
19577,20200309
17157,20200310
16981,20200311
17910,20200312
17366,20200313
17695,20200314
14205,20200315
17067,20200316
18021,20200317
17377,20200318
17356,20200319
16516,20200320
17755,20200321
15365,20200322
20294,20200323
18134,20200324
20655,20200325
19712,20200326
19889,20200327
17987,20200328
16406,20200329
19632,20200330
18593,20200331
18672,20200401
0,20200402
