Pv,date
23653,20180823
23621,20180824
22164,20180825
23828,20180826
29683,20180827
30409,20180828
30842,20180829
30631,20180830
26519,20180831
21648,20180901
20373,20180902
27012,20180903
25248,20180904
25257,20180905
25718,20180906
24005,20180907
18522,20180908
18770,20180909
25099,20180910
27775,20180911
28220,20180912
32327,20180913
27312,20180914
21743,20180915
20718,20180916
28392,20180917
29942,20180918
28643,20180919
27843,20180920
23561,20180921
16837,20180922
16598,20180923
18229,20180924
26037,20180925
30672,20180926
27796,20180927
28745,20180928
27426,20180929
25911,20180930
19679,20181001
19687,20181002
19519,20181003
20829,20181004
20182,20181005
22589,20181006
24140,20181007
31364,20181008
33188,20181009
35252,20181010
34331,20181011
33487,20181012
28000,20181013
27527,20181014
36615,20181015
40760,20181016
50125,20181017
53502,20181018
42163,20181019
33667,20181020
34131,20181021
43310,20181022
40544,20181023
41540,20181024
40538,20181025
36557,20181026
27097,20181027
23266,20181028
30954,20181029
30779,20181030
30146,20181031
32370,20181101
28142,20181102
21086,20181103
22527,20181104
30315,20181105
29772,20181106
29908,20181107
28418,20181108
26400,20181109
20986,20181110
19436,20181111
28734,20181112
28098,20181113
27986,20181114
30014,20181115
27391,20181116
19448,20181117
20370,20181118
27433,20181119
30553,20181120
29477,20181121
28800,20181122
25472,20181123
18754,20181124
20290,20181125
28662,20181126
29228,20181127
29758,20181128
29518,20181129
28198,20181130
19738,20181201
21640,20181202
31886,20181203
33637,20181204
32667,20181205
36142,20181206
32630,20181207
20496,20181208
22053,20181209
30581,20181210
30408,20181211
31714,20181212
30392,20181213
26880,20181214
25153,20181215
24935,20181216
41829,20181217
41330,20181218
39962,20181219
33849,20181220
29560,20181221
21591,20181222
22233,20181223
36378,20181224
30351,20181225
31370,20181226
29810,20181227
26440,20181228
23054,20181229
16660,20181230
17494,20181231
17210,20190101
25674,20190102
25722,20190103
24867,20190104
18802,20190105
19006,20190106
25348,20190107
26412,20190108
23799,20190109
23143,20190110
23148,20190111
18052,20190112
16300,20190113
22670,20190114
22288,20190115
24163,20190116
24869,20190117
27520,20190118
15893,20190119
31597,20190120
21515,20190121
23151,20190122
25509,20190123
18553,20190124
16547,20190125
13486,20190126
19004,20190127
16177,20190128
15278,20190129
15832,20190130
15744,20190131
13937,20190201
11777,20190202
12809,20190203
11506,20190204
11422,20190205
10896,20190206
11879,20190207
12764,20190208
13636,20190209
14401,20190210
19698,20190211
22241,20190212
23752,20190213
24664,20190214
25778,20190215
21419,20190216
22204,20190217
70466,20190218
60376,20190219
80526,20190220
75097,20190221
64210,20190222
71555,20190223
71103,20190224
67444,20190225
71353,20190226
61390,20190227
51213,20190228
43765,20190301
36411,20190302
36263,20190303
39635,20190304
46104,20190305
42795,20190306
49308,20190307
37641,20190308
31539,20190309
32489,20190310
40537,20190311
35491,20190312
38699,20190313
38934,20190314
34245,20190315
23798,20190316
27081,20190317
39410,20190318
42287,20190319
42700,20190320
40796,20190321
37684,20190322
27044,20190323
31132,20190324
71812,20190325
66407,20190326
57867,20190327
53173,20190328
46879,20190329
32377,20190330
29003,20190331
26906,20190401
25201,20190402
22899,20190403
19958,20190404
12124,20190405
14519,20190406
15832,20190407
36018,20190408
41190,20190409
41689,20190410
42458,20190411
43570,20190412
42835,20190413
38623,20190414
35569,20190415
26183,20190416
26074,20190417
25607,20190418
23712,20190419
17836,20190420
15906,20190421
24805,20190422
24529,20190423
24127,20190424
25765,20190425
20742,20190426
14285,20190427
21838,20190428
21636,20190429
17817,20190430
10715,20190501
9603,20190502
10057,20190503
13232,20190504
20027,20190505
23195,20190506
22782,20190507
23301,20190508
21744,20190509
18809,20190510
13521,20190511
15224,20190512
21553,20190513
22317,20190514
24152,20190515
24352,20190516
21950,20190517
61488,20190518
73313,20190519
27041,20190520
25973,20190521
24827,20190522
24343,20190523
21297,20190524
16141,20190525
19022,20190526
24891,20190527
24719,20190528
24354,20190529
24439,20190530
20530,20190531
16259,20190601
20838,20190602
25262,20190603
23128,20190604
22214,20190605
19722,20190606
10773,20190607
12092,20190608
14775,20190609
21673,20190610
22226,20190611
22371,20190612
22082,20190613
21565,20190614
14261,20190615
16885,20190616
23087,20190617
24447,20190618
25024,20190619
25499,20190620
21229,20190621
14435,20190622
15208,20190623
43351,20190624
40177,20190625
34505,20190626
31210,20190627
28631,20190628
20873,20190629
19908,20190630
28787,20190701
24957,20190702
26990,20190703
25103,20190704
22339,20190705
15256,20190706
14154,20190707
21216,20190708
21497,20190709
20969,20190710
21532,20190711
20082,20190712
13648,20190713
13058,20190714
20162,20190715
19220,20190716
19337,20190717
18940,20190718
17565,20190719
12247,20190720
11382,20190721
18601,20190722
19242,20190723
18463,20190724
18782,20190725
0,20190726
11271,20190727
11452,20190728
17177,20190729
18526,20190730
17931,20190731
17336,20190801
16327,20190802
12238,20190803
11802,20190804
17720,20190805
26708,20190806
17176,20190807
17843,20190808
16582,20190809
11913,20190810
11713,20190811
16786,20190812
17631,20190813
18167,20190814
17186,20190815
17869,20190816
12330,20190817
11940,20190818
17594,20190819
18651,20190820
52302,20190821
58613,20190822
55831,20190823
43447,20190824
44261,20190825
50294,20190826
61306,20190827
42010,20190828
29719,20190829
19571,20190830
0,20190831
14248,20190901
19726,20190902
21244,20190903
21560,20190904
23453,20190905
19578,20190906
14387,20190907
14701,20190908
21451,20190909
20804,20190910
20295,20190911
16246,20190912
9232,20190913
11041,20190914
14451,20190915
20044,20190916
21656,20190917
22053,20190918
21197,20190919
19760,20190920
14396,20190921
15296,20190922
34995,20190923
35206,20190924
31804,20190925
27023,20190926
25939,20190927
18156,20190928
23928,20190929
18227,20190930
11318,20191001
9973,20191002
10658,20191003
11273,20191004
11964,20191005
12281,20191006
19204,20191007
25535,20191008
26571,20191009
26711,20191010
26984,20191011
24766,20191012
19632,20191013
25566,20191014
26480,20191015
28328,20191016
43496,20191017
35188,20191018
22887,20191019
24729,20191020
30501,20191021
27002,20191022
27952,20191023
25390,20191024
21448,20191025
14299,20191026
16762,20191027
24493,20191028
23730,20191029
26269,20191030
25998,20191031
22005,20191101
17584,20191102
18472,20191103
25459,20191104
25280,20191105
24873,20191106
25355,20191107
22687,20191108
18310,20191109
19883,20191110
38962,20191111
38009,20191112
57109,20191113
70484,20191114
55485,20191115
44735,20191116
47764,20191117
61025,20191118
60019,20191119
65914,20191120
55993,20191121
50719,20191122
32198,20191123
40462,20191124
46102,20191125
43366,20191126
37044,20191127
28800,20191128
27082,20191129
20896,20191130
24239,20191201
26840,20191202
27333,20191203
32448,20191204
25884,20191205
34955,20191206
18320,20191207
18330,20191208
26000,20191209
25826,20191210
26304,20191211
24825,20191212
23441,20191213
19143,20191214
20443,20191215
29343,20191216
