2.00 	0.26 	21.70 	70.11 	3.06 	0.86 	0.06 	0.95 	0.00 	380	110	90	20	260	50	20	60	150	1 0 0
3.10 	0.03 	12.88 	70.73 	5.04 	6.37 	0.04 	0.81 	0.00 	460	0	80	20	240	130	20	60	520	1 0 0
1.46 	0.10 	20.73 	71.58 	3.15 	0.95 	0.04 	0.98 	0.00 	400	30	60	40	210	50	40	70	80	1 0 0
2.02 	0.03 	16.19 	70.28 	3.23 	6.59 	0.05 	0.60 	0.00 	410	40	60	10	220	180	20	70	310	1 0 0
1.73 	0.37 	22.50 	69.21 	3.25 	0.79 	0.03 	1.11 	0.00 	450	20	60	0	290	40	40	90	180	1 0 0
2.11 	0.05 	13.17 	73.80 	4.07 	4.81 	0.03 	0.96 	0.00 	550	40	30	60	240	100	20	50	440	1 0 0
2.40 	0.22 	24.71 	66.48 	3.41 	0.70 	0.03 	1.04 	0.00 	670	40	100	0	520	30	50	60	220	1 0 0
1.91 	0.07 	12.49 	71.89 	3.00 	5.62 	0.04 	1.39 	0.58 	28020	30	190	530	300	70	40	50	400	1 0 0
2.47 	0.13 	12.51 	73.00 	2.79 	7.22 	0.04 	0.84 	0.00 	1170	20	180	50	380	100	50	60	530	1 0 0
1.12 	0.31 	32.84 	60.09 	3.20 	0.54 	0.06 	0.83 	0.00 	670	20	60	30	450	20	50	60	150	1 0 0
1.91 	0.00 	13.12 	74.36 	4.00 	3.21 	0.04 	0.96 	0.37 	15440	40	80	260	400	60	30	40	240	1 0 0
4.20 	0.20 	12.54 	73.13 	4.03 	3.92 	0.04 	0.94 	0.00 	840	20	80	30	460	50	40	50	190	1 0 0
2.49 	0.15 	25.55 	66.35 	2.62 	0.92 	0.03 	0.90 	0.00 	1260	70	50	10	490	80	40	70	270	1 0 0
2.47 	0.04 	14.32 	72.85 	3.30 	2.16 	0.04 	1.32 	0.63 	28260	80	50	40	340	130	40	40	590	1 0 0
3.30 	0.06 	13.05 	75.35 	3.21 	2.85 	0.04 	1.13 	0.00 	3070	130	50	0	470	130	40	70	380	1 0 0
0.88 	0.34 	14.33 	73.16 	6.87 	2.46 	0.11 	0.84 	0.46 	45350	40	210	40	280	30	30	50	580	0 1 0
0.67 	1.38 	14.14 	70.56 	6.32 	5.22 	0.03 	0.68 	0.00 	640	90	250	20	400	20	30	60	670	0 1 0
0.03 	0.35 	22.97 	69.06 	4.58 	0.86 	0.05 	1.10 	0.00 	620	20	10	50	410	0	30	90	130	0 1 0
1.07 	0.43 	12.48 	70.83 	6.08 	7.18 	0.04 	0.89 	0.11 	7800	70	70	20	420	120	30	60	660	0 1 0
1.26 	0.42 	13.21 	68.43 	6.39 	8.06 	0.05 	1.19 	0.00 	2270	60	90	60	430	90	30	60	720	0 1 0
0.33 	0.53 	20.09 	71.77 	4.07 	1.01 	0.10 	1.10 	0.00 	450	50	30	20	380	30	50	120	250	0 1 0
0.80 	0.77 	13.64 	68.90 	5.96 	7.47 	0.03 	1.44 	0.19 	29340	60	30	30	290	40	40	60	780	0 1 0
0.77 	0.63 	12.38 	70.41 	5.79 	8.13 	0.03 	0.86 	0.00 	660	50	30	20	340	70	30	70	630	0 1 0
0.74 	0.55 	20.08 	69.36 	5.60 	1.38 	0.05 	1.25 	0.00 	480	40	30	20	480	0	40	110	650	0 1 0
0.87 	0.49 	15.53 	67.55 	5.46 	7.57 	0.11 	1.42 	0.41 	32160	20	50	20	380	40	30	50	730	0 1 0
0.33 	0.28 	13.79 	71.99 	6.28 	5.73 	0.02 	0.59 	0.00 	520	40	60	40	530	100	40	60	500	0 1 0
0.98 	0.02 	15.69 	71.07 	6.29 	3.56 	0.10 	1.30 	0.92 	63830	50	50	10	210	40	30	50	440	0 1 0
