id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
953333666,拉脱维亚,2020-03-27 21:00:07,36.0,0.0,0.0,0.0,0.0,,280,0,1,0,0
9512111,不丹,2020-03-27 20:12:41,1.0,0.0,0.0,0.0,0.0,,3,0,0,0,0
957873,挪威,2020-03-27 16:14:11,57.0,0.0,0.0,0.0,0.0,,3372,0,6,14,0
9524546,印度尼西亚,2020-03-27 19:48:37,153.0,0.0,11.0,9.0,0.0,,1046,0,46,87,0
956789,安哥拉,2020-03-27 14:57:49,1.0,0.0,0.0,0.0,0.0,,4,0,0,0,0
87656,开曼群岛,2020-03-27 11:32:45,5.0,0.0,0.0,1.0,0.0,,5,0,0,1,0
95844,埃塞俄比亚,2020-03-27 18:26:20,4.0,0.0,0.0,0.0,0.0,,16,0,0,0,0
95879,梵蒂冈,2020-03-26 21:29:10,,0.0,,,0.0,,4,0,0,0,0
95632,科特迪瓦,2020-03-27 04:32:22,16.0,0.0,0.0,0.0,0.0,,96,0,3,0,0
95634,卡塔尔,2020-03-27 03:00:21,12.0,0.0,2.0,0.0,0.0,,549,0,43,0,0
950611,格鲁吉亚,2020-03-27 16:40:10,4.0,0.0,3.0,0.0,0.0,,81,0,13,0,0
96745,墨西哥,2020-03-27 09:56:49,110.0,0.0,3.0,2.0,0.0,,585,0,4,8,0
95891,圣马力诺,2020-03-27 00:00:31,,,,,,,208,0,4,21,0
95400,哈萨克斯坦,2020-03-27 19:11:25,28.0,0.0,1.0,1.0,0.0,,125,0,3,1,0
95643,安道尔,2020-03-27 20:55:36,4.0,0.0,0.0,2.0,0.0,,224,0,1,3,0
95886,牙买加,2020-03-27 00:00:31,,,,,,,26,0,2,1,0
82333,格恩西岛,2020-03-27 11:33:37,1.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
95677,罗马尼亚,2020-03-27 16:30:49,122.0,0.0,30.0,7.0,0.0,,1029,0,94,24,0
95436,阿曼,2020-03-27 18:08:23,22.0,0.0,0.0,0.0,0.0,,131,0,23,0,0
95672,列支敦士登,2020-03-27 20:30:43,5.0,0.0,0.0,0.0,0.0,,56,0,0,0,0
9547021,马达加斯加,2020-03-27 00:00:31,,,,,,,23,0,0,0,0
