sex,age,cql,vitalCapacity,zxqdcs,a,zghqls,wzqdcsA,wzqdcsB,wzqdcsC,wzqdcsd,BMI,label
1,5,1.123753577,0.786206897,0.81300813,0.8771929829999999,0.832258065,0.9285714290000001,0.94332724,0.45161290299999995,0.31147541,24.088223117166624,0
1,2,1.201178971,0.904109589,0.902821317,0.872727273,0.935028249,0.670886076,0.9629032259999999,0.5921908889999999,0.311965812,19.19530279649216,0
10,3,1.499664441,0.845188285,0.8914141409999999,0.873762376,1.0354838709999998,0.9844444440000001,1.086142322,0.34096692100000003,0.31707317100000004,26.775510204081634,0
10,3,1.627712865,1.125,1.097222222,0.812757202,1.1285551759999999,0.8481308409999999,1.179656539,0.27247191,0.323529412,29.053287981859413,0
1,5,1.3052345029999999,1.1782945740000001,1.055045872,0.7565789470000001,0.9621342509999999,0.56231003,0.766730402,0.447115385,0.327956989,21.096190514828187,0
10,6,1.441015676,0.8353221959999999,0.81097561,0.76,0.793727382,0.5507246379999999,0.83106267,0.5606469000000001,0.32885906,26.47210743801653,0
10,3,1.6933803490000001,1.004115226,1.081481481,0.897540984,1.161187699,1.164146868,1.2395061729999999,0.360703812,0.333333333,32.0,0
1,3,1.334061538,1.0031347959999999,1.083333333,0.934375,0.898773006,1.028639618,1.01208981,0.362244898,0.34013605399999997,30.457655947153988,0
1,5,1.163717796,1.01754386,1.010526316,0.8275862070000001,0.871559633,0.622149837,0.799599198,0.4567099570000001,0.340659341,25.96952908587257,0
10,4,1.754659756,1.078828829,1.212290503,0.90605428,1.294857143,1.6,1.434554974,0.49137931,0.34166666700000003,27.42857142857143,0
1,3,1.272155869,0.8959999999999999,0.904907976,0.8779761909999999,0.918055556,0.7429805620000001,0.887640449,0.424929179,0.343434343,19.84126984126984,0
1,6,1.1993733229999999,1.105820106,1.1038961040000002,0.813397129,1.174348697,0.600775194,1.150537634,0.527196653,0.345381526,26.12494932660691,0
10,3,1.370336728,0.737270876,0.8053527979999999,0.9143646409999999,0.7415966390000001,0.8834745759999999,0.8284313729999999,0.44153225799999996,0.35046729,17.306122448979593,0
1,3,1.1974187490000001,0.9508196720000001,1.0,0.9068965520000001,0.9889763779999999,0.975429975,1.091549296,0.481595092,0.36111111100000004,21.096190514828187,0
10,2,1.550016516,1.018987342,1.061425061,0.894409938,1.010548523,0.977867203,1.048507463,0.38670694899999997,0.362068965,23.030045351473927,0
1,3,1.313849459,0.970588235,1.06779661,0.954545455,0.926253687,0.926940639,1.025125628,0.322580645,0.362318841,20.5761316872428,0
1,2,1.233214594,0.9883040940000001,0.9562289559999999,0.8402366859999999,0.835051546,0.603104213,0.831666667,0.508379888,0.363636364,22.265625,0
1,6,1.329861575,1.111587983,1.154639175,0.864864865,0.936594203,0.9112627990000001,1.034,0.447247706,0.365853659,24.65483234714004,0
10,3,1.616258335,0.915662651,0.941747573,0.850877193,0.970619098,0.863340564,1.053658537,0.504784689,0.367346939,30.299204645878053,0
1,4,1.2099402879999999,0.9893617020000001,1.061983471,0.9211469529999999,1.0641447370000001,0.9923273659999999,1.176363636,0.529691211,0.368932039,26.058353624674268,0
1,3,1.488617614,1.2478134109999999,1.1885521890000001,0.824766355,0.9750367109999999,0.7918552040000001,0.983305509,0.401595745,0.370860927,22.10028959000152,0
1,6,1.153955638,0.9825327509999999,0.936842105,0.791111111,0.8992673990000001,0.422680412,0.682092555,0.490616622,0.372413793,26.638917793964616,0
